date,pair_y,pair_x,direction,entry_time,exit_time,beta,pnl
2025-12-02,AUDCHF,CADCHF,Short Spread,2025-12-02 08:56:00,2025-12-02 23:59:00,0.766108861021103,-6.491733946784734
2025-12-03,CADCHF,AUDCHF,Long Spread,2025-12-03 16:22:00,2025-12-03 23:59:00,0.6934152370085034,-10.662747330274215
2025-12-03,AUDCAD,EURAUD,Short Spread,2025-12-03 15:12:00,2025-12-03 23:59:00,-0.3367591171923298,-4.096130293051829
2025-12-03,AUDCHF,CADCHF,Short Spread,2025-12-03 00:01:00,2025-12-03 23:59:00,0.8541522857250087,-44.1180313168461
2025-12-04,CADCHF,AUDCHF,Long Spread,2025-12-04 00:01:00,2025-12-04 23:59:00,0.6699281968691709,7.600561338710577
2025-12-04,AUDCHF,CADCHF,Short Spread,2025-12-04 00:01:00,2025-12-04 23:59:00,0.9805843956608357,-6.571792858228946
2025-12-04,AUDCAD,AUDCHF,Short Spread,2025-12-04 00:01:00,2025-12-04 23:59:00,0.6786463355942203,8.059669579571164
2025-12-04,AUDCAD,EURAUD,Short Spread,2025-12-04 00:01:00,2025-12-04 23:59:00,-0.3227211215114487,1.0553778001594765
2025-12-05,CADCHF,AUDCHF,Long Spread,2025-12-05 00:02:00,2025-12-05 09:01:00,0.6500720340481145,31.528525469390843
2025-12-05,CADCHF,AUDCHF,Short Spread,2025-12-05 10:56:00,2025-12-05 16:59:00,0.6500720340481145,-27.58251096084041
2025-12-05,CADCHF,EURCHF,Short Spread,2025-12-05 08:31:00,2025-12-05 16:59:00,0.6123479022515058,-74.19632834779077
2025-12-05,AUDCHF,CADCHF,Short Spread,2025-12-05 00:01:00,2025-12-05 16:59:00,1.058319954579875,85.20457550883657
2025-12-05,AUDCAD,EURAUD,Short Spread,2025-12-05 00:01:00,2025-12-05 08:50:00,-0.3225032352909536,33.38664982213595
2025-12-05,AUDCAD,EURAUD,Long Spread,2025-12-05 10:55:00,2025-12-05 16:59:00,-0.3225032352909536,-31.5486153226866
2025-12-07,CADCHF,AUDCHF,Short Spread,2025-12-07 00:01:00,2025-12-07 06:59:00,0.6513589440003246,14.821870289400977
2025-12-07,EURAUD,AUDCHF,Long Spread,2025-12-07 00:05:00,2025-12-07 06:59:00,-1.998391403928207,23.15516072360333
2025-12-07,CADCHF,EURCHF,Short Spread,2025-12-07 00:01:00,2025-12-07 06:59:00,0.620822225896673,18.449458536329985
2025-12-07,AUDCHF,EURAUD,Short Spread,2025-12-07 01:16:00,2025-12-07 06:59:00,-0.362873546741933,2.7488356059766375
2025-12-08,CADCHF,AUDCHF,Short Spread,2025-12-08 00:01:00,2025-12-08 23:59:00,0.6593232453342076,2.7113009875747593
2025-12-08,AUDCHF,CADCHF,Long Spread,2025-12-08 10:09:00,2025-12-08 23:22:00,1.103604949557639,43.77536218633577
2025-12-08,CADCHF,EURCHF,Short Spread,2025-12-08 00:01:00,2025-12-08 23:59:00,0.6263825043264256,9.793186619848711
2025-12-08,AUDCHF,EURAUD,Short Spread,2025-12-08 01:03:00,2025-12-08 23:59:00,-0.3667525235223104,-20.44829125461547
2025-12-09,CADCHF,AUDCHF,Short Spread,2025-12-09 00:01:00,2025-12-09 23:59:00,0.6863325662722406,2.930400105960871
2025-12-09,EURAUD,AUDCHF,Long Spread,2025-12-09 17:05:00,2025-12-09 23:59:00,-2.00097865540835,10.803321879835494
2025-12-09,CADCHF,EURCHF,Short Spread,2025-12-09 00:01:00,2025-12-09 23:59:00,0.6614572011818448,-9.971137762913713
2025-12-09,AUDCAD,EURAUD,Long Spread,2025-12-09 01:06:00,2025-12-09 23:59:00,-0.29595400949565076,-4.416885730377544
2025-12-10,CADCHF,AUDCHF,Short Spread,2025-12-10 00:09:00,2025-12-10 23:59:00,0.7016697995061401,1.5397689343726597
2025-12-10,AUDCHF,CADCHF,Short Spread,2025-12-10 15:15:00,2025-12-10 22:14:00,1.1074918580661657,44.29756572545557
2025-12-10,EURAUD,AUDCHF,Long Spread,2025-12-10 15:16:00,2025-12-10 23:59:00,-2.017382692825846,21.755023121426348
2025-12-10,AUDCAD,EURAUD,Long Spread,2025-12-10 00:01:00,2025-12-10 23:59:00,-0.2855551452423987,-1.725452815368044
2025-12-11,CADCHF,AUDCHF,Short Spread,2025-12-11 00:20:00,2025-12-11 12:09:00,0.7118554383932671,34.19769993233422
2025-12-11,EURAUD,AUDCHF,Long Spread,2025-12-11 17:15:00,2025-12-11 23:59:00,-2.0367231514322865,6.0605387787381915
2025-12-11,AUDCAD,EURAUD,Long Spread,2025-12-11 00:01:00,2025-12-11 23:59:00,-0.27672653880951714,7.315696563788151
2025-12-12,CADCHF,AUDCHF,Short Spread,2025-12-12 10:23:00,2025-12-12 16:59:00,0.7175388409848179,8.684766270102955
2025-12-12,AUDCAD,EURAUD,Long Spread,2025-12-12 05:12:00,2025-12-12 16:59:00,-0.27157917468091275,-3.6660547867995774
2025-12-14,CADCHF,AUDCHF,Short Spread,2025-12-14 00:25:00,2025-12-14 06:59:00,0.7223933463901056,-9.382558662084193
2025-12-14,EURAUD,AUDCHF,Long Spread,2025-12-14 00:06:00,2025-12-14 00:36:00,-2.0518477139504436,41.47401673033346
2025-12-14,AUDCHF,EURAUD,Long Spread,2025-12-14 00:06:00,2025-12-14 00:19:00,-0.38389299026242857,44.06342820723148
2025-12-14,AUDCAD,EURAUD,Long Spread,2025-12-14 00:01:00,2025-12-14 06:59:00,-0.267785624558248,-6.324690643636131
2025-12-15,CADCHF,AUDCHF,Short Spread,2025-12-15 00:01:00,2025-12-15 23:59:00,0.7274727403383386,-6.8239533957703316
2025-12-15,AUDCHF,CADCHF,Long Spread,2025-12-15 17:16:00,2025-12-15 23:59:00,1.0949340402612189,5.370550946090589
2025-12-15,AUDCHF,EURAUD,Short Spread,2025-12-15 11:21:00,2025-12-15 17:05:00,-0.3824667382768393,39.23507695285298
2025-12-15,AUDCHF,EURAUD,Short Spread,2025-12-15 18:01:00,2025-12-15 23:59:00,-0.3824667382768393,-2.1961892778563197
2025-12-15,AUDCAD,EURAUD,Long Spread,2025-12-15 00:01:00,2025-12-15 23:59:00,-0.26439464183796296,3.4982382444359246
2025-12-16,CADCHF,AUDCHF,Short Spread,2025-12-16 00:01:00,2025-12-16 23:59:00,0.7356262452341561,-15.901731040469713
2025-12-16,AUDCHF,CADCHF,Long Spread,2025-12-16 00:53:00,2025-12-16 23:59:00,1.0852541246380936,-19.05632330629851
2025-12-16,EURAUD,AUDCHF,Short Spread,2025-12-16 09:58:00,2025-12-16 17:05:00,-2.0467862742463,28.147558542405022
2025-12-16,AUDCHF,EURAUD,Short Spread,2025-12-16 00:01:00,2025-12-16 17:05:00,-0.3836179984067971,33.324580049062206
2025-12-16,AUDCAD,EURAUD,Long Spread,2025-12-16 00:01:00,2025-12-16 23:59:00,-0.2613464473905769,-19.49192771626622
2025-12-17,CADCHF,AUDCHF,Short Spread,2025-12-17 00:01:00,2025-12-17 23:59:00,0.7432316999745799,-8.139100793300713
2025-12-17,AUDCHF,CADCHF,Long Spread,2025-12-17 00:01:00,2025-12-17 23:59:00,1.0728147309838774,-16.468434218979382
2025-12-17,EURAUD,AUDCHF,Short Spread,2025-12-17 20:21:00,2025-12-17 23:59:00,-2.0389839898495343,2.4361953431362053
2025-12-17,AUDCHF,EURAUD,Short Spread,2025-12-17 04:09:00,2025-12-17 23:59:00,-0.38478122678244203,3.3337498370965477
2025-12-17,CADCHF,EURCHF,Short Spread,2025-12-17 00:01:00,2025-12-17 23:59:00,0.7411636099053189,13.597147745864277
2025-12-18,CADCHF,AUDCHF,Short Spread,2025-12-18 00:01:00,2025-12-18 23:59:00,0.7478920851888232,14.532801011020638
2025-12-18,AUDCHF,CADCHF,Long Spread,2025-12-18 00:01:00,2025-12-18 23:59:00,1.05955221658939,19.462788624361565
2025-12-18,CADCHF,EURCHF,Short Spread,2025-12-18 01:14:00,2025-12-18 23:59:00,0.7501434790604476,-16.37969302849706
2025-12-19,CADCHF,AUDCHF,Short Spread,2025-12-19 00:01:00,2025-12-19 16:59:00,0.7504624237150749,9.625586954394748
2025-12-19,AUDCHF,CADCHF,Long Spread,2025-12-19 00:01:00,2025-12-19 16:59:00,1.0549684124235363,11.700633725533407
2025-12-19,AUDCAD,GBPNZD,Long Spread,2025-12-19 00:01:00,2025-12-19 16:59:00,-0.16143154579686708,11.7267868229319
2025-12-21,CADCHF,AUDCHF,Short Spread,2025-12-21 00:01:00,2025-12-21 06:59:00,0.752248137444065,18.039321548186308
2025-12-21,AUDCHF,CADCHF,Long Spread,2025-12-21 00:01:00,2025-12-21 06:59:00,1.0528315376961273,24.504532651595582
2025-12-21,AUDCAD,GBPNZD,Long Spread,2025-12-21 00:09:00,2025-12-21 06:59:00,-0.16679521757370913,29.756481764707132
2025-12-21,EURAUD,AUDCHF,Long Spread,2025-12-21 00:05:00,2025-12-21 06:59:00,-2.036532491145768,18.440641407338262
2025-12-22,CADCHF,AUDCHF,Short Spread,2025-12-22 13:36:00,2025-12-22 17:06:00,0.7541802466019777,22.58211961939469
2025-12-22,EURAUD,AUDCHF,Long Spread,2025-12-22 17:05:00,2025-12-22 23:59:00,-2.0301419666516285,2.35724409498107
2025-12-22,AUDCHF,EURAUD,Long Spread,2025-12-22 17:05:00,2025-12-22 23:59:00,-0.3933018386339615,2.6098680617651553
2025-12-23,EURAUD,AUDCHF,Long Spread,2025-12-23 03:15:00,2025-12-23 23:59:00,-2.0247373313892676,-24.44289775138168
2025-12-23,AUDCHF,EURAUD,Long Spread,2025-12-23 04:04:00,2025-12-23 23:59:00,-0.39922325223402677,-16.3263084229402
2025-12-24,EURAUD,AUDCHF,Long Spread,2025-12-24 00:01:00,2025-12-24 23:54:00,-2.040410604901212,-30.06832151198978
2025-12-24,AUDCHF,EURAUD,Long Spread,2025-12-24 00:01:00,2025-12-24 23:54:00,-0.3973599233370532,-42.809965434484184
2025-12-25,EURAUD,AUDCHF,Long Spread,2025-12-25 00:01:00,2025-12-25 09:58:00,-2.0640713074271098,24.63325190708383
2025-12-25,AUDCHF,EURAUD,Long Spread,2025-12-25 00:01:00,2025-12-25 09:58:00,-0.3917377691266383,34.92845017621585
2025-12-26,EURAUD,AUDCHF,Long Spread,2025-12-26 00:01:00,2025-12-26 16:59:00,-2.0662572362038203,-13.445296585488904
2025-12-26,AUDCHF,EURAUD,Long Spread,2025-12-26 00:01:00,2025-12-26 16:59:00,-0.39178986951632466,-12.71443520691173
2025-12-28,EURAUD,AUDCHF,Long Spread,2025-12-28 00:01:00,2025-12-28 06:58:00,-2.0819975621666886,0.650992312532253
2025-12-28,AUDCHF,EURAUD,Long Spread,2025-12-28 00:01:00,2025-12-28 06:58:00,-0.38952367603978233,3.620332066093397
2025-12-28,AUDCAD,GBPNZD,Short Spread,2025-12-28 05:35:00,2025-12-28 06:58:00,-0.1816876927041149,1.0982824453167268
2025-12-29,CADCHF,AUDCHF,Short Spread,2025-12-29 11:27:00,2025-12-29 22:52:00,0.7627954066818469,29.77633885239993
2025-12-29,AUDCHF,EURAUD,Long Spread,2025-12-29 00:01:00,2025-12-29 23:59:00,-0.3918613961082463,3.09862733758564
2025-12-29,EURAUD,AUDCHF,Long Spread,2025-12-29 00:01:00,2025-12-29 23:59:00,-2.0889643120464454,7.0004552784666885
2025-12-29,AUDCAD,GBPNZD,Short Spread,2025-12-29 00:04:00,2025-12-29 23:59:00,-0.18199232204540405,-9.692997187590663
2025-12-30,EURAUD,AUDCHF,Long Spread,2025-12-30 00:01:00,2025-12-30 23:59:00,-2.1186744851435337,7.106062004771957
2025-12-30,AUDCHF,EURAUD,Long Spread,2025-12-30 00:01:00,2025-12-30 23:59:00,-0.3883659113421027,13.882155184517615
2025-12-30,AUDCAD,GBPNZD,Short Spread,2025-12-30 00:01:00,2025-12-30 23:59:00,-0.18134913747350084,8.363874638385823
2025-12-31,CADCHF,AUDCHF,Short Spread,2025-12-31 08:03:00,2025-12-31 16:57:00,0.7728776445884089,11.431907802967544
2025-12-31,AUDCAD,GBPNZD,Short Spread,2025-12-31 00:01:00,2025-12-31 16:57:00,-0.17891887057270003,-13.828510918974644
2025-12-31,EURAUD,AUDCHF,Long Spread,2025-12-31 00:01:00,2025-12-31 16:57:00,-2.153193999540848,16.268568084593426
